OutcomeID,OutcomeDesc,CourseMnemonic,Active
1,Research documentation on your own as a first line of action,ds_tech_bootcamp,TRUE
2,Describe the components of a computer,ds_tech_bootcamp,TRUE
3,Explain the scales of computational power and scales of data,ds_tech_bootcamp,TRUE
4,"Differentiate between Windows, MacOS ,and Linux operating systems",ds_tech_bootcamp,TRUE
5,Compare Command Line (CLI) and Graphical User Interface (GUI) shells,ds_tech_bootcamp,TRUE
6,Demonstrate installing software to your computer,ds_tech_bootcamp,TRUE
7,Implement important tasks with Linux,ds_tech_bootcamp,TRUE
8,Create a GitHub account for career or personal use,ds_tech_bootcamp,TRUE
9,Use CLI to operate Git software for version control,ds_tech_bootcamp,TRUE
10,Use GUI to operate Github website interface for version control,ds_tech_bootcamp,TRUE
11,Know how to Install R,ds_tech_bootcamp,TRUE
12,Know how to install and launch Rstudio,ds_tech_bootcamp,TRUE
13,Know how to install Anaconda,ds_tech_bootcamp,TRUE
14,Know how to launch Spyder,ds_tech_bootcamp,TRUE
15,Know how to launch Jupyter Notebook,ds_tech_bootcamp,TRUE
16,Understand and use language models such as bag of words,ds5001,TRUE
17,Understand and use vector space models,ds5001,TRUE
18,Understand how to measure similarity between documents,ds5001,TRUE
19,Understand how Principal Component Analysis (PCA) works,ds5001,TRUE
20,Understand and use topic models such as Latent Dirichlet Allocation (LDA),ds5001,TRUE
21,Understand and use word embedding such as glove and word2vec,ds5001,TRUE
22,Understand and use sentiment analysis such as VADER,ds5001,TRUE
23,Understand and use Naive Bayes classification,ds5001,TRUE
24,Have a working knowledge of parallel computing and apply this knowledge for improved computing efficiency,cs5012,TRUE
25,"Select, Computationally Assess, and Deploy appropriate and efficient data structures and algorithms to solve Data Science problems",cs5012,TRUE
26,"Define and Use Logic, Data Structures, and Algorithms to Solve Problems ",cs5012,TRUE
27,"Connect, Transform, and Reduce Real-World Problems to Classical Problem Frameworks to make use of existing, efficient algorithmic solutions",cs5012,TRUE
28,Independently Explore advanced or supplementary topics to attain a deeper and complimentary understanding of topics,cs5012,TRUE
29,"Reflect on peer-feedback, instructor-feedback, experiences, and lessons-learned related to the use of data structures and algorithms to make continual improvements and updates to methodologies applied ",cs5012,TRUE
30,Have a working knowledge of the Algorithm Complexity Class Hierarchy in order to gain perspective of the scope of the field and its contextual application to Data Science ,cs5012,TRUE
31,Design and understand regular expressions for pattern matching,cs5012,TRUE
32,Understand the important considerations for proper database design,cs5012,TRUE
33,Basic Dataframe operations (Python and R),ds5100,TRUE
34,Clone a repo on GitHub,ds5100,TRUE
35,Confidently work in an appropriate programming environment (IDE),ds5100,TRUE
36,Confidently write a class and call its methods to simulate a scenario,ds5100,TRUE
37,Confidently write and call functions in both Python and R,ds5100,TRUE
38,Correctly pass parameters and retrieve function output(s),ds5100,TRUE
39,"Data structures (e.g., sequences and collections: set, list, dict, tuple)",ds5100,TRUE
40,Demonstrate how methods are inherited from base classes,ds5100,TRUE
41,"Essential primitives (e.g., bool, int, float)",ds5100,TRUE
42,Find and utilize resources including online documentation,ds5100,TRUE
43,"I/O: at least three different formats, including csv, txt, JSON",ds5100,TRUE
44,Identify and utilize primitive data types and data structures [Built in],ds5100,TRUE
45,Import data into a Pandas Dataframe,ds5100,TRUE
46,Incorporating some exception handling,ds5100,TRUE
47,"NumPy, Pandas (essentials)",ds5100,TRUE
48,Patch/debug broken code,ds5100,TRUE
49,Patch/debug code using in-line testing and unit testing (advanced),ds5100,TRUE
50,"Perform sensitivity analysis on functions (e.g., changing inputs and measuring impact on outputs)",ds5100,TRUE
51,Perform simple mathematical calculations (Python and R),ds5100,TRUE
52,R: Apply the Tidyverse Pipe operator to aggregate data,ds5100,TRUE
53,"R: Apply the Tidyverse verbs, such as: select(), filter(), arrange(), mutate(), summarize()",ds5100,TRUE
54,R: data types,ds5100,TRUE
55,R: Demonstrate use of element-wise operations,ds5100,TRUE
56,"R: essential built-in functions like head(), tail(), rbind(), table(), summary(), str()",ds5100,TRUE
57,R: get started in RStudio and navigate around,ds5100,TRUE
58,R: save code in an R script,ds5100,TRUE
59,R: vectorization,ds5100,TRUE
60,Read and Write to and from various data formats,ds5100,TRUE
61,Read code on GitHub,ds5100,TRUE
62,Select and apply an appropriate data structure based on the problem requirements,ds5100,TRUE
63,Use a program API to utilize existing functions (e.g. assert statements.),ds5100,TRUE
64,"Using program API to utilize existing functions (e.g. sorting, searching, assert statements, etc.)",ds5100,TRUE
65,Utilize and implement add-on numerical packages to augment existing data structures,ds5100,TRUE
66,Write robust code by implementing the basic principles of program testing and debugging,ds5100,TRUE
67,Execute distributed computing frameworks using MapReduce and Spark ,ds5110,TRUE
68,"Demonstrate knowledge of applications for big data storage, retrieval, processing, and modeling using Amazon AWS, Hive, and others from the Hadoop ecosystem ",ds5110,TRUE
69,"Implement PySpark for prevalent data science tasks, including data analysis and machine learning",ds5110,TRUE
70,Execute an end-to-end predictive modeling project using a large dataset,ds5110,TRUE
71,"Delineate Spark basic architecture and functionality.
",ds5110,TRUE
72,Apply RDDs and Pair RDDs in data analysis tasks,ds5110,TRUE
73,Apply DataFrames in data analysis tasks,ds5110,TRUE
74,Apply Spark SQL to data analysis tasks,ds5110,TRUE
